1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Woody,Terrestrial,Plains / Savannah,Rare,Solitary (1-2),Small (5-25cm),Stem / Trunk,Radial,Fibrous,Smooth,Green,N/A,Smooth,Black,N/A,Scaly,Green,N/A,Broad,Branch Points,Orbicular (Circular),Serrulate,VelvetyDusty,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Pairs (2),Smooth,Orange,N/A,Seeds,Fruit,Animal,Bunches,Disc,Tiny (<5mm),Wavy,Waxy,Random Interval,Musky,Perennial (Yearly),Smooth,Orange,Translucent,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Edible,Blanched,N/A,Medicinal / Other,Juice,Hypnotic,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Small Patch (1-12),Small (5-25cm),Stem / Trunk,None,Tap,Waxy,Yellow,N/A,Smooth,Copper,N/A,Smooth,Green,N/A,Blades,Stem / Trunk,Palmate (Hand-Like),Dentate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Rough,Red,N/A,Suckers,Grain,Animal,Spray,Bell,Tiny (<5mm),Curly,Waxy,Terminal,Sweet,Annual (Once),Smooth,Brown,Blushed,10+,5+,Other,Light,Non-Sentient,N/A,Edible,Dried,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Poultice,Re-Roll,Medicinal / Other,Crushed,Stimulant,
Herbaceous,Terrestrial,Forest / Jungle & Plains / Savannah,Rare,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Radial,Tubers,Smooth,Green,N/A,Smooth,Brown,N/A,Smooth,Green,N/A,Broad,Terminal,Lanceolate (Pointed at Both Ends),Dentate & Serrulate,VelvetyDusty,Reticulate (Smaller Veins Forming a Network),Singles (1),Rough,Green,N/A,Budding / Fragmentation,Other,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Wash,Laxative,Edible,Boiled,N/A,
Herbaceous,Aquatic,Fresh Water,Very Rare,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Ordered,Tubers,Smooth,Green,N/A,Smooth,Green,N/A,Waxy,Black,N/A,Broad,Terminal,Poly-Foliate (2-7 Leaflets) & Hastatae (Triangular Basal Lobes),Smooth,Sticky,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Smooth,Violet,N/A,Suckers,Grain,Animal,Spray,Disc,Small (5-10mm),Round,Hairy,Regular Interval,Foul,Perennial (Yearly),Smooth,Green,Stripes,1-3,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Steeped,N/A,Edible,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Edible,Roasted,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Solitary (1-2),Huge (>10m),Stem / Trunk,Radial,Tap,Other,Orange,N/A,Smooth,Silver,N/A,Smooth,Yellow,N/A,Blades,Branch Points,Pedate (Palmate Divided Latteral Lobes),Crenate,VelvetyDusty,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Scaly,Violet,N/A,Seeds,Fruit,Gravity,Pairs,Complex,Small (5-10mm),Wavy,Dusty,Terminal,Other / Specific,Annual (Once),Other,Gold & Brown,Stripes,4-9,2-4,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Bath,Cholagouge,
Woody,Terrestrial,Marsh / Swamp / Bog,Uncommon,Small Patch (1-12),Large (1-10m),Stem / Trunk,None,Tap,Rough,Silver & Blue,Solid,Smooth,Orange,N/A,Rough,Yellow,N/A,Broad,Terminal,Ovate (Egg Wide at Base),Lobate,VelvetyDusty,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Other,Brown,N/A,Seeds,Nut,Gravity,Pairs,Complex,Avg. (1-5cm),Wavy & Curly,Velvety,Terminal,Sweet,Annual (Once),Waxy,Copper,Stripes,10+,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Infusion,Anthelmintic,Medicinal / Other,Re-Roll,Balsam,N/A,N/A,N/A,Edible,Raw,N/A,Nutritious / Tasty,Roasted,N/A,Non-Edible,N/A,N/A,
Fungus,Aquatic,Fresh Water,Rare,Solitary (1-2),Average (25cm-1m),Stem / Trunk,None,None,Smooth,Black,N/A,Other,Blue,N/A,Smooth,Brown,N/A,Blades,Terminal,Poly-Foliate (2-7 Leaflets),Lobate,Smooth,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Smooth,Green,N/A,Seeds,Other,Wind,Bunches,Funnel,Tiny (<5mm),Thread,Waxy,Stem / Trunk,Sweet,Annual (Once),Smooth,White,Phases,4-9,1,Other,Gravity,Non-Sentient,N/A,Edible,Ground,N/A,Medicinal / Other,Rubbed,Balsam,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Edible,Raw,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Uncommon,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Radial,Fibrous,Scaly,Red,N/A,Smooth,Green,N/A,Smooth,Black,N/A,Blades,Branch Points,Acuminate (Taper to Long Point),Serate,Sticky & Sticky,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,White,N/A,Other,Fruit,Gravity,Spray,Spike,Small (5-10mm),Blade,Smooth,Regular Interval,Other / Specific,Perennial (Yearly),Waxy,Silver,Spotted,4-9,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Ground,Antipyretic,Edible,Roasted,N/A,Medicinal / Other,Cold Compress,Digestive,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Appetizer,
Woody,Terrestrial,Plains / Savannah,Very Common,Small Patch (1-12),Small (5-25cm),Stem / Trunk,Radial,Fibrous,Scaly,Silver,N/A,Flaky,Grey,N/A,Flaky,Violet,N/A,Broad,Regular Interval,Digitate (Finger-Like Lobes),Serate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Rough,Black,N/A,Seeds,Fruit,Animal,Bunches,Complex,Avg. (1-5cm),Curly & Round,Velvety,Branch Points,Foul,Annual (Once),Rough,Silver,Blushed,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,Edible,Ground,N/A,Medicinal / Other,Poultice,Mucilaginous,
Herbaceous,Aquatic,Salt Water,Common,Solitary (1-2),Average (25cm-1m),Creeper Vine,Random,Tap,Smooth,Copper,N/A,Smooth,Green & Grey,Phases,Smooth,Blue,N/A,Blades,Terminal,Linear (Parallel Margins & Elongate),Sinuate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Waxy,Violet,N/A,Other,Grain,Animal,Spray,Bell,Large (5-10cm),Toothed,Hairy,Regular Interval,Sweet,Perennial (Yearly),Smooth,Black,Translucent,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Decoction,Nervine,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Infusion,Antiseptic,Medicinal / Other,Tincture,Wax,
Herbaceous,Terrestrial,Forest / Jungle,Very Rare,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,None,Tap,Smooth,Violet,N/A,Smooth,Green,N/A,Smooth,Yellow,N/A,Blades,Random Interval,Reniform (Kidney),Sinuate,Sticky,Arcute (Secondary Veins Bending Towards Apex),Pairs (2),Waxy,Green,N/A,Seeds,Nut,Animal,Pairs,Spike,Small (5-10mm),Round & Toothed,Hairy,Terminal,None,Poly-Annual (2-7 Years),Smooth,Red,Blushed,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Steeped,N/A,Medicinal / Other,Ground,Appetizer,
Herbaceous,Terrestrial,Plains / Savannah,Rare,Solitary (1-2),Tiny (<5cm),Stem / Trunk,Random,Tap,Smooth,Green,N/A,Waxy,Black,N/A,Waxy,Black,N/A,Broad,Terminal,Falcate (Sickle),Sinuate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Smooth,Grey & Green,Spotted,Suckers,Grain,Water,Spray,Spike,Avg. (1-5cm),Thread,Hairy,Random Interval,Sweet,Annual (Once),Smooth,Green,Mottled,4-9,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Dried,N/A,Edible,Ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Fomentation,Digestive,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Common,Small Patch (1-12),Large (1-10m),Multiple Stems / Trunks,Random,Tap,Smooth,Copper,N/A,Rough,Black,N/A,Smooth,Green,N/A,Compound,Random Interval,Obovate (Egg Narrow at Base),Spiny,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Waxy,Grey,N/A,Suckers,Grain,Gravity,Bunches,Bell,Small (5-10mm),Blade,Smooth,Regular Interval,Foul,Poly-Annual (2-7 Years),Rough,Gold & Violet,Stripes,10+,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Re-Roll,Insecticide,
Woody,Terrestrial,Desert / Waste,Very Rare,Large Patch (120+),Large (1-10m),Stem / Trunk,Random,Fibrous,Rough,Grey,N/A,Waxy,Silver,N/A,Smooth,Orange,N/A,Needles,Regular Interval,Poly-Foliate (2-7 Leaflets),Spiny,Waxy,Pinnate (Secondary Veins Paired Oppositely),Pairs (2),Waxy,Gold,N/A,Seeds,Fruit,Animal,Pairs,Cone,Avg. (1-5cm),Oval,Smooth,Branch Points,Sweet,Perennial (Yearly),Waxy,Silver & Green,Mimicry,4-9,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,Nutritious / Tasty,Ground,N/A,Medicinal / Other,Ointment,Specific,Nutritious / Tasty,Dried,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog & Forest / Jungle,Very Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Tap,Rough,Grey & Blue,Stripes,Smooth,Green,N/A,Other,Green,N/A,Broad,Branch Points,Lanceolate (Pointed at Both Ends),Sinuate,Hairy,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Smooth,Green & Brown,Spotted,Seeds,Spore,Wind,Bunches,Cone,Tiny (<5mm),Feathery & Wavy,Smooth,Terminal,Sweet,Annual (Once),Smooth,Black,Night Blooming,10+,2-4,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Medicinal / Other,Tincture,Adjuvant,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Wash,Acrid,Medicinal / Other,Grated,Hallucinogen,
Herbaceous,Sub-Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,None,None,Rough,Brown,N/A,Smooth,White,N/A,Smooth,Silver,N/A,Compound,Random Interval,Poly-Foliate (2-7 Leaflets),Undulate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Pairs (2),Smooth,Brown,N/A,Suckers,Fruit,Animal,Pairs,Cone,Avg. (1-5cm),Toothed & Curly,Smooth,Branch Points,Foul,Annual (Once),Smooth,Blue,Stripes,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Decoction,Antitussive,Medicinal / Other,Poultice,Depurative,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Powder,Emetic,
Herbaceous,Aquatic,Brackish,Unique (Extremely Limited Area),Small Patch (1-12),Average (25cm-1m),Multiple Stems / Trunks,Radial,Rhizoid,Smooth,Green,N/A,Waxy,Copper,N/A,Smooth,Grey,N/A,Compound,Random Interval,Cuneate (Wedge Accute Base),Sinuate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Waxy,Brown,N/A,Budding / Fragmentation,Fruit,Wind,Other,Disc,Small (5-10mm),Oval & Round,Dusty,Branch Points,Foul,Poly-Annual (2-7 Years),Rough,Silver,Night Blooming,1-3,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Powder,Vulnerary,Nutritious / Tasty,Roasted,N/A,Edible,Raw,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Edible,Blanched,N/A,
Woody,Terrestrial,Forest / Jungle,Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Ordered,Tap,Rough,Blue,N/A,Flaky,Green,N/A,Scaly,Green,N/A,Blades,Terminal,Obcordate (Heart Stem at Point),Smooth,VelvetyDusty,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Rough,Yellow,N/A,Seeds,Fruit,Water,Pairs,Spike,Avg. (1-5cm),Wavy,Hairy,Terminal,Sweet,Poly-Annual (2-7 Years),Smooth,White,Blushed,10+,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Decoction,Emmenagogue,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,Edible & Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Hills / Scrub,Very Rare,Large Patch (120+),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Smooth,Brown,N/A,Rough,Copper,N/A,Rough,Gold,N/A,Broad,Random Interval,Acuminate (Taper to Long Point),Denticulate,VelvetyDusty,None,Clusters (6+),Scaly,Green,N/A,Seeds,Nut,Water,Bunches,Disc,Small (5-10mm),Feathery,Hairy,Terminal,Sweet,Annual (Once),Flaky,Brown,Spotted,1-3,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Dried,N/A,Medicinal / Other,Fomentation,Re-Roll,N/A,N/A,N/A,Edible,Raw,N/A,Nutritious / Tasty,Roasted,N/A,Edible,Raw,N/A,
Woody,Terrestrial,Forest / Jungle,Common,Small Patch (1-12),Huge (>10m),Stem / Trunk,Ordered,Fibrous,Smooth,Copper,N/A,Rough,Green & Yellow,Phases,Rough,Silver,N/A,Broad,Branch Points,Poly-Foliate (2-7 Leaflets),Crenate,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Waxy,White,N/A,Seeds,Nut,Animal,Compound,Disc,Avg. (1-5cm),Oval,Velvety,Random Interval,Musky,Poly-Annual (2-7 Years),Smooth,Brown,Luminescent,10+,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Vapor / Smoke,Calmative,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Radial,Rhizoid,Smooth,Copper,N/A,Smooth,Yellow,N/A,Other & Smooth,Brown,N/A,Compound,Terminal,Acuminate (Taper to Long Point),Denticulate,Hairy,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Smooth,Gold,N/A,Seeds,Grain,Water,Compound,Cone,Large (5-10cm),Curly,Velvety,Stem / Trunk,Musky,Annual (Once),Smooth,Gold,Blushed,10+,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Tincture,Alterative,Medicinal / Other,Bath,Fungicide,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Edible,Steeped,N/A,
